	id	key	label	domain	nes	num_domains
849	849	WIBG	3129	3	2.1958066970316144	2.0
850	850	CAPRIN1	871	3	1.2782267019142344	2.0
851	851	SRPK2	3128	3	2.1958066970316144	2.0
852	852	LSM1	3127	3	2.2264755167992534	2.0
853	853	DCP2	870	3	1.4547308341819465	2.0
854	854	PRRC2C	3126	0	1.0629346675711417	0.0
855	855	DDA1	869	20	2.073082533916228	3.0
856	856	GLMN	3125	0	1.0629346675711417	0.0
857	857	LSM3	3124	3	2.7458585176725174	2.0
858	858	DDX6	868	3	1.6921056392507388	2.0
859	859	SLIRP	3123	3	2.7458585176725174	2.0
860	860	DERL1	3122	10	7.061938026690507	10.0
861	861	DERL2	865	10	5.362460636639967	17.0
862	862	OVCA2	3121	41	0.7599995551346072	0.0
863	863	DGUOK	862	41	1.631080699103645	0.0
864	864	ECI1	3120	41	0.7599995551346072	0.0
865	865	COX7A2L	863	41	1.631080699103645	0.0
866	866	DCUN1D5	3119	11	4.753192201243918	11.0
867	867	AP1G1	1003	11	4.9693010663782236	19.0
868	868	SYNRG	3118	11	5.387868733425065	9.0
869	869	DHCR7	861	11	5.229692415263149	15.0
870	870	TRAF4	3117	13	3.957183490156483	28.0
871	871	CRK	857	13	7.175975927465012	44.0
872	872	ANKH	3116	33	7.496722740063703	0.0
873	873	DNAJC24	855	33	7.496722740063703	0.0
874	874	IFI27L2	3115	33	7.496722740063703	0.0
875	875	RPL23	3114	33	7.496722740063703	0.0
876	876	EFTUD2	3113	33	7.496722740063703	0.0
877	877	UBE3D	3112	0	0.683001100251732	0.0
878	878	NEMF	3111	33	7.496722740063703	0.0
879	879	STARD7	3110	33	7.496722740063703	0.0
880	880	SOCS6	3109	33	7.496722740063703	0.0
881	881	DPH2	854	33	7.496722740063703	0.0
882	882	DPH6	3108	33	7.496722740063703	0.0
883	883	ZZZ3	3107	21	1.6565486824804834	1.0
884	884	CTDSPL2	3106	0	0.19132686154365178	0.0
885	885	TCOF1	3105	21	1.317833324858705	1.0
886	886	CSRP2BP	850	20	1.3958760249560154	4.0
887	887	PPAN	3104	21	0.8544408137186649	1.0
888	888	CXXC1	849	21	1.4148086026721458	1.0
889	889	ADNP2	3103	21	0.8544408137186649	1.0
890	890	SNRPA1	3102	4	8.23174082394243	4.0
891	891	EAF1	847	4	6.58799916307369	4.0
892	892	PAGE5	3101	11	3.532034579780804	9.0
893	893	EBP	846	11	3.711817461714281	22.0
894	894	KLF8	3100	11	3.532034579780804	9.0
895	895	IQSEC2	3099	11	3.532034579780804	9.0
896	896	SEMA7A	3098	3	2.777913784532106	2.0
