id	key	label	domain	nes	num_domains	FDR
2619	PGM3	1727	38	4.09736146044655	0.0	7.99168835157451e-05
2620	ODC1	1726	38	2.495921495874962	0.0	0.003192114817377646
2621	DHODH	566	38	2.422168512428091	0.0	0.003782957721030132
2622	METTL5	1725	0	-0.0	0.0	1.0
2623	HEATR2	1724	21	1.6565486824804834	1.0	0.022052169275246482
2624	RSF1	1723	0	0.1913268615436517	0.0	0.6436846290419511
2625	TXNL4A	1722	0	0.8898326462287488	0.0	0.12887460695495043
2626	ARID1B	230	0	0.8777188836803821	0.0	0.13251990513540898
2627	METTL23	1721	14	3.998226483527885	10.0	0.000100409202214353
2628	ANKRD17	1720	0	1.034903505736024	0.0	0.09227764326178713
2629	PIM2	1719	0	0.8898326462287488	0.0	0.12887460695495043
2630	SET	1718	0	0.1913268615436517	0.0	0.6436846290419511
2631	TRIP4	1717	0	0.0379614565855612	0.0	0.9163018078330175
2632	SSR1	228	0	0.0379614565855612	0.0	0.9163018078330175
2633	MAP3K3	1716	0	0.0379614565855612	0.0	0.9163018078330175
2634	CDKN2AIP	1715	2	9.819734027678669	6.0	1.5144884734206557e-10
2635	MAPK7	1714	0	2.278907525452128	0.0	0.005261292834438555
2636	TRAF7	1713	0	0.8467777787281641	0.0	0.14230567553640328
2637	ASH2L	1712	0	2.8014370244020608	0.0	0.0015796576520323386
2638	NPM3	1711	24	6.410947714053072	37.0	3.881970993294447e-07
2639	SSSCA1	225	24	11.953518491045678	47.0	1.1129650048525466e-12
2640	ZDHHC14	1710	24	6.410947714053072	37.0	3.881970993294447e-07
2641	KIAA1143	1709	24	10.69567544529634	46.0	2.0152296982946567e-11
2642	MAZ	1708	0	0.0	1.0	1.0
2643	TXNDC9	1707	24	10.69567544529634	46.0	2.0152296982946567e-11
2644	TTC27	1706	24	6.410947714053072	37.0	3.881970993294447e-07
2645	AHSA1	1705	20	1.1900876283606243	2.0	0.06455239673885177
2646	KDM3B	707	20	4.240934106445302	5.0	5.7420357693284e-05
2647	CCT7	1704	24	12.38797856360462	46.0	4.092808609764012e-13
2648	CCT6A	1703	24	10.146081247771733	46.0	7.143626706710532e-11
2649	POC1A	408	24	16.181986549218458	48.0	6.576782063659822e-17
2650	GCFC2	1702	24	10.69567544529634	46.0	2.0152296982946567e-11
2651	HSF2	1701	24	12.38797856360462	46.0	4.092808609764012e-13
2652	DEAF1	1700	24	12.38797856360462	46.0	4.092808609764012e-13
2653	ATP6V0A1	1699	0	-0.0	0.0	1.0
2654	SMURF1	1698	3	2.2264755167992534	2.0	0.005936418135993494
2655	IPO11	1697	0	-0.0	0.0	1.0
2656	DCUN1D2	1696	0	-0.0	0.0	1.0
2657	CSDE1	223	0	-0.0	0.0	1.0
2658	CHAMP1	1695	0	-0.0	0.0	1.0
2659	REXO1	1694	28	3.833916853169349	0.0	0.00014658284508387452
2660	FAM136A	816	28	17.47912514543941	0.0	3.3179883327990844e-18
2661	TOMM7	1693	0	-0.0	0.0	1.0
2662	KHDRBS1	1692	0	-0.0	0.0	1.0
2663	SYAP1	1691	0	-0.0	0.0	1.0
2664	ALDH5A1	1690	0	0.5484068297438589	0.0	0.28287409026530835
2665	SUCLA2	216	29	1.550268669619708	0.0	0.02816639921093255
2666	C4orf29	1689	28	27.33210526454442	0.0	4.654732581749532e-28
2667	CLPP	920	28	36.9001798004072	0.0	1.2584043173262986e-37
2668	PSMD2	1688	19	1.8699218160898623	5.0	0.013492057516381826
2669	SUPT20H	215	19	1.7034671785639557	8.0	0.019793966067999248
2670	NFE2L2	1687	19	1.8699218160898623	5.0	0.013492057516381826
2671	ESD	1686	10	4.46379204929287	14.0	3.4372249114935354e-05
2672	SURF4	209	10	4.329555511273399	24.0	4.682141006888826e-05
2673	CHD7	1685	4	5.607545824983142	3.0	2.4686196124862807e-06
2674	SNAPC5	213	4	4.350297971095249	3.0	4.4637722595159435e-05
2675	TUBGCP5	1684	24	9.337824554956832	30.0	4.59383555812302e-10
2676	PTPRB	1683	4	5.607545824983142	3.0	2.4686196124862807e-06
2677	RBM33	1682	4	5.607545824983142	3.0	2.4686196124862807e-06
2678	ZNF322	1681	4	5.607545824983142	3.0	2.4686196124862807e-06
2679	PYHIN1	1680	4	5.607545824983142	3.0	2.4686196124862807e-06
2680	WARS	1679	4	5.607545824983142	3.0	2.4686196124862807e-06
2681	LCP1	1678	4	5.607545824983142	3.0	2.4686196124862807e-06
2682	OR14A16	1677	4	5.607545824983142	3.0	2.4686196124862807e-06
2683	LEO1	1676	4	6.758636690186783	4.0	1.743264594641846e-07
2684	INTS2	1675	4	4.693651408325645	3.0	2.0246436311398366e-05
2685	TIMM21	1674	0	0.683001100251732	0.0	0.20749082608274494
2686	NARG2	1673	4	4.693651408325645	3.0	2.0246436311398366e-05
2687	SUPT7L	1672	4	4.693651408325645	3.0	2.0246436311398366e-05
2688	TCEA1	1671	4	4.416109285576432	3.0	3.836107018021921e-05
2689	RBM23	1670	4	5.607545824983142	3.0	2.4686196124862807e-06
2690	FUT10	1669	4	5.607545824983142	3.0	2.4686196124862807e-06
2691	GTF2B	1668	4	5.607545824983142	3.0	2.4686196124862807e-06
2692	MRPS31	1667	4	5.607545824983142	3.0	2.4686196124862807e-06
2693	BTAF1	1666	4	4.693651408325645	3.0	2.0246436311398366e-05
2694	SSBP1	1665	28	27.33210526454442	0.0	4.654732581749532e-28
2695	INO80	1664	10	6.670525453757899	11.0	2.1353769291263076e-07
2696	SYVN1	207	10	5.560879782387963	17.0	2.7486549064917472e-06
2697	SRPK1	1663	2	2.609077108575824	2.0	0.0024599308069766716
2698	HAUS2	1662	24	2.7983949463260296	7.0	0.001590761434560778
2699	DLGAP5	206	24	7.998209727771614	15.0	1.0041307623220415e-08
2700	CENPC	1661	24	2.7983949463260296	7.0	0.001590761434560778
2701	CDK11A	1660	24	2.7983949463260296	7.0	0.001590761434560778
2702	ATP1B3	1659	0	0.91678640160834	0.0	0.12111936866243209
2703	RNF40	1658	24	2.7983949463260296	7.0	0.001590761434560778
2704	BUB1	1657	24	2.7983949463260296	7.0	0.001590761434560778
2705	LHFPL1	1656	0	1.5586413728519268	0.0	0.02762858398757341
2706	BUB3	1655	24	6.537913281538816	40.0	2.8979221772857687e-07
2707	KIF15	699	24	16.5814582590106	48.0	2.6214509798960758e-17
2708	PMF1	1654	24	7.349894787382448	11.0	4.467918192758886e-08
2709	RBM3	1653	14	8.712952280281701	17.0	1.936634747187847e-09
2710	ABT1	1652	24	2.7983949463260296	7.0	0.001590761434560778
2711	GAK	204	24	7.998209727771614	15.0	1.0041307623220415e-08
2712	BRD1	1651	0	1.9611601872784308	0.0	0.01093552940517191
2713	ZNF217	1650	10	7.836875630160407	17.0	1.4558759431976835e-08
2714	TJAP1	1649	24	2.7983949463260296	7.0	0.001590761434560778
2715	RNF20	1648	21	1.4518264219339445	1.0	0.03533243576423019
2716	E2F4	851	21	2.4792790182070354	2.0	0.0033168129607076486
2717	TBCC	1647	24	2.7983949463260296	7.0	0.001590761434560778
2718	CLINT1	1646	18	3.170211051832245	6.0	0.0006757545026817375
2719	DNAAF2	1645	24	2.7983949463260296	7.0	0.001590761434560778
2720	PPIH	1644	0	0.3999851088661055	0.0	0.39812082112716046
2721	TXLNG	1643	0	1.034903505736024	0.0	0.09227764326178713
