	key	label	Doxorubicin
0	YOR260W	gcd1-ph	0.0
1	YHR087W	rtc3	-0.6825018898773312
2	YBR031W	rpl4a	0.17031981887780584
3	YPL097W	msy1	-0.7567432916723138
4	YJR074W	mog1	-0.35563804397327486
5	YPL122C	tfb2-2	0.0
6	YER077C	yer077c	-0.7636316964193469
7	YAL021C	ccr4	-0.6855584201581197
8	YDR332W	irc3	0.10473535052001304
9	YMR073C	irc21	-0.3095266222190178
10	YML063W	rps1b	1.9538036064389546
11	YOR154W	slp1	0.2726683517853393
12	YPR105C	cog4-201	0.0
13	YGL010W	ygl010w	-0.16346028413904257
14	YGL016W	kap122	-1.7368389826836437
15	YJL014W	cct3-200	-0.7365250107794008
16	YPR084W	ypr084w	-0.16346028413904257
17	YJL033W	hca4-201	-1.3690347504509282
18	YLR055C	spt8	0.1760912590556812
19	YJL111W	cct7-1	0.0
20	YJL010C	nop9-1	0.0
21	YLR378C	sec61-2	-0.8862454303442138
22	YLR312C	ylr312c	-0.723914967179198
23	YPR167C	met16	0.16346028413904257
24	YLR071C	rgr1-100	1.591064607026499
25	YMR218C	trs130-203	-0.6734158998636306
26	YKR042W	uth1	0.2237027310099495
27	YLR145W	rmp1-ts	0.7636316964193469
28	YLR390W-A	ccw14	-0.1797134191841367
29	YLR348C	dic1	-0.05566577922092414
30	YGR028W	msp1	0.24611210818799664
31	YMR021C	mac1	-1.0848583789393154
32	YFR043C	irc6	-1.103756874024041
33	YJL173C	rfa3-313	0.0
34	YNL019C	ynl019c	-0.9260316535311475
35	YDR359C	eaf1	-0.09417490601628792
36	YER117W	rpl23b	1.9960736544852753
37	YGR148C	rpl24b	0.7636316964193469
38	YJR076C	cdc11-4	-0.23300299308507394
39	YPR023C	eaf3	-1.9155756985400032
40	YMR075W	rco1	-2.3961993470957363
41	YMR201C	rad14	-0.07807112626358054
42	YKL212W	sac1	0.06264680913788917
43	YDR259C	yap6	0.7105378535893022
44	YJR072C	npa3-ph	0.0
45	YDL085C-A	ydl085c-a	0.0
46	YBR276C	pps1	-0.6468723357443247
47	YLR366W	ylr366w	0.33536901910171246
48	YMR086W	seg1	0.7671050149045681
49	YBL006C	ldb7	0.03650220988496128
50	YBR131W	ccz1	-1.3690347504509282
51	YGL212W	vam7	-0.11179261471475621
52	YDR360W	opi7	0.8777748418314069
53	YJL206C	yjl206c	0.6979285302592042
54	YGL124C	mon1	-1.2434973765788244
55	YLR385C	swc7	0.12671085295421794
56	YNL136W	eaf7	-1.1728622889254827
57	YFL043C	yfl043c	-0.17790157631599124
58	YDR281C	phm6	-1.0320021683521554
59	YMR075C-A	ymr075c-a	-2.151851208481124
60	YHR194W	mdm31	0.5113167666624974
61	YOR296W	yor296w	0.44751173936929356
62	YOR337W	tea1	0.5993507218935025
63	YGR231C	phb2	0.7671050149045681
64	YMR171C	ear1	0.5247628891548889
65	YML001W	ypt7	-1.2267839672918686
66	YOL009C	mdm12	-0.13278688310541986
67	YGR181W	tim13	0.05915534033855624
68	YJR135W-A	tim8	-0.21629858485359338
69	YNL118C	dcp2-7d	0.0
70	YBR281C	dug2	0.7201593034059568
71	YOL056W	gpm3	-0.2669375803345452
72	YMR152W	yim1	-1.3806633963405828
